Fecha,Liga,Equipo1,Equipo2,Resultado
"JUEVES, 28 SEPTIEMBRE 2023",SERIE A,GENOA,ROMA,4 - 1
"JUEVES, 28 SEPTIEMBRE 2023",SERIE A,AC MONZA,BOLOGNA,0 - 0
"JUEVES, 28 SEPTIEMBRE 2023",SERIE A,FROSINONE,FIORENTINA,1 - 1
"JUEVES, 28 SEPTIEMBRE 2023",COPA LIBERTADORES,FLUMINENSE,INTERNACION,2 - 2
"JUEVES, 28 SEPTIEMBRE 2023",CONMEBOL SUDAMERICANA,LIGA QUITO,DEFENSA,3 - 0
"MIÉRCOLES, 27 SEPTIEMBRE 2023",PRIMERA DIVISIÓN,REAL MADRID,LAS PALMAS,2 - 0
"MIÉRCOLES, 27 SEPTIEMBRE 2023",PRIMERA DIVISIÓN,ATHLETIC,GETAFE,2 - 2
"MIÉRCOLES, 27 SEPTIEMBRE 2023",PRIMERA DIVISIÓN,VILLARREAL,GIRONA,1 - 2
"MIÉRCOLES, 27 SEPTIEMBRE 2023",PRIMERA DIVISIÓN,VALENCIA,REAL,0 - 1
"MIÉRCOLES, 27 SEPTIEMBRE 2023",PRIMERA DIVISIÓN,CÁDIZ,RAYO,0 - 0
"MIÉRCOLES, 27 SEPTIEMBRE 2023",EFL CUP,NEWCASTLE,MANCHESTER,1 - 0
"MIÉRCOLES, 27 SEPTIEMBRE 2023",EFL CUP,LIVERPOOL,LEICESTER,3 - 1
"MIÉRCOLES, 27 SEPTIEMBRE 2023",SERIE A,INTER,SASSUOLO,1 - 2
"MARTES, 26 SEPTIEMBRE 2023",PRIMERA DIVISIÓN,MALLORCA,BARCELONA,2 - 2
"MARTES, 26 SEPTIEMBRE 2023",PRIMERA DIVISIÓN,SEVILLA,ALMERÍA,5 - 1
"MARTES, 26 SEPTIEMBRE 2023",SERIE A,JUVENTUS,LECCE,1 - 0
"MARTES, 26 SEPTIEMBRE 2023",EFL CUP,IPSWICH,WOLVES,3 - 2
"MARTES, 26 SEPTIEMBRE 2023",EFL CUP,MANCHESTER,CRYSTAL,3 - 0
"MARTES, 26 SEPTIEMBRE 2023",EFL CUP,EXETER CITY,LUTON TOWN,1 - 0
"MARTES, 26 SEPTIEMBRE 2023",EFL CUP,BRADFORD,MIDDLESBROU,0 - 2
"MARTES, 26 SEPTIEMBRE 2023",EFL CUP,PORT VALE,SUTTON,2 - 1
"LUNES, 25 SEPTIEMBRE 2023",SEGUNDA DIVISIÓN,RACING,REAL,1 - 0
"LUNES, 25 SEPTIEMBRE 2023",SEGUNDA DIVISIÓN,TENERIFE,ESPANYOL,1 - 0
"LUNES, 25 SEPTIEMBRE 2023",COPA LIGA PROFESIONAL ARGENTINA,BANFIELD,RIVER PLATE,1 - 1
"LUNES, 25 SEPTIEMBRE 2023",COPA LIGA PROFESIONAL ARGENTINA,GODOY CRUZ,RACING CLUB,1 - 1
"LUNES, 25 SEPTIEMBRE 2023",LIGA MX - APERTURA,SANTOS,NECAXA,2 - 5
"LUNES, 25 SEPTIEMBRE 2023",COPA LIGA PROFESIONAL ARGENTINA,TIGRE,LORENZO,0 - 0
"LUNES, 25 SEPTIEMBRE 2023",LIGA MX - APERTURA,CRUZ AZUL,QUERÉTARO,1 - 3
"LUNES, 25 SEPTIEMBRE 2023",COPA LIGA PROFESIONAL ARGENTINA,SARMIENTO,BELGRANO,0 - 0
"DOMINGO, 24 SEPTIEMBRE 2023",PRIMERA DIVISIÓN,ATLÉTICO,REAL MADRID,3 - 1
"DOMINGO, 24 SEPTIEMBRE 2023",PRIMERA DIVISIÓN,REAL,GETAFE,4 - 3
"DOMINGO, 24 SEPTIEMBRE 2023",PRIMERA DIVISIÓN,REAL BETIS,CÁDIZ,1 - 1
"DOMINGO, 24 SEPTIEMBRE 2023",PREMIER LEAGUE,CHELSEA,ASTON VILLA,0 - 1
"DOMINGO, 24 SEPTIEMBRE 2023",PREMIER LEAGUE,ARSENAL,TOTTENHAM,2 - 2
"DOMINGO, 24 SEPTIEMBRE 2023",PRIMERA DIVISIÓN,LAS PALMAS,GRANADA,1 - 0
"DOMINGO, 24 SEPTIEMBRE 2023",PRIMERA DIVISIÓN,RAYO,VILLARREAL,1 - 1
"DOMINGO, 24 SEPTIEMBRE 2023",PREMIER LEAGUE,BRIGHTON,BOURNEMOUTH,3 - 1
